Setting,Sterilization,Nutrients,Container_type,Container_size,Substrate,Reference
Incubator,,,Box,12 cm x 12 cm x 3 cm,Filter paper,"Davidson, R. H. E., D. G. W.; Sziklai, O.; ElKassaby, Y. A. (1996). ""Genetic variation in germination parameters among populations of Pacific silver fir)."" Silvae Genetica 45(2-3): 165-171."
Incubator,0.25 % uspulum for 30 min,,Petri,,Filter paper,"Davis, O. H. (1927). ""Germination and Early Growth of Cornus florida, Sambucus canadensis, and Berberis thunbergii."" Botanical Gazette 84(3): 225-263."
Incubator,,,Box,17 x 11 x 6cm,Agar,"Daws, M. I. and H. W. Pritchard (2008). ""The development and limits of freezing tolerance in Acer pseudoplatanus fruits across Europe is dependent on provenance."" Cryoletters 29(3): 189-198."
Incubator,,,Box,17 x 11 x 6cm,Agar,"Daws, M. I., et al. (2006). ""Pressure – time dependency of vacuum degassing as a rapid method for viability assessment using tetrazolium chloride: a comparative study of 17 Pinus species."" Seed Science and Technology 34(2): 475-483."
Incubator,,,Box,17 x 11 x 6cm,Agar,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66."
Incubator,,,Box,12 x8 x 5 cm,Filter paper,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279."
Incubator,,,Petri,,Filter paper,"De Frenne, P., et al. (2010). ""Significant effects of temperature on the reproductive output of the forest herb Anemone nemorosa L."" Forest Ecology and Management 259(4): 809-817."
Incubator,,,Pot,2.2 l,"Sand, peat and soil","DeBell, D. S. N., Aubrey W. (1972). ""Some Factors Affecting Germination of Swamp Tupelo Seeds."" Ecology 53(3): 504-506."
Incubator,3 min in sodium hypochlorite solution diluted to 2.5% [v/v] active chlorine,,Petri,9 cm,Filter paper,"Dello Jacovo, E., et al. (2018). ""Towards a characterisation of the wild legume bitter vetch (Lathyrus linifolius L. (Reichard) Bassler): heteromorphic seed germination, root nodule structure and N-fixing rhizobial symbionts."" Plant Biol (Stuttg)."
Incubator,,,Petri,15 cm,Filter paper,"Dillon, K. R., Sarah Hayden (2014). ""Effect of Temperature on the Seed Germination of Garden Loosestrife (Lysimachia vulgarisL.)."" Natural Areas Journal 34(2): 212-215."
Incubator,,,Petri,,Filter paper,"Doescher, P. M., Richard; Winward, Alma (1985). ""Effects of Moisture and Temperature on Germination of Idaho Fescue."" Journal of Range Management 38(4): 317-320."
Incubator,,,Box,17 × 10.5 × 6 cm,Cotton wool,"Doody, C. N. and C. O’Reilly (2008). ""Drying and soaking pretreatments affect germination in pedunculate oak."" Annals of Forest Science 65(5): 509-509."
Incubator,,,Box,12 × 8 × 4.5 cm,Cotton wool,"Doody, C. N. and C. O’Reilly (2011). ""Effect of long-phase stratification treatments on seed germination in ash."" Annals of Forest Science 68(1): 139-147."
Incubator,,,Petri,,Filter paper,"Doody, P. O. R., C. (2005). ""Effect of moist chilling and priming treatments on the germination of Douglas-fir and noble fir seeds."" Seed Science and Technology 33(1): 63-76."
Incubator,,,Petri,10 cm,Filter paper,"Dorning, M. and D. Cipollini (2005). ""Leaf and root extracts of the invasive shrub, Lonicera maackii, inhibit seed germination of three herbs with no autotoxic effects."" Plant Ecology 184(2): 287-296."
Incubator,,,Petri,8.5 cm,Filter paper,"Dow, M. A. S., Christa R. (1999). ""Seed germination, seedling emergence, and seed bank ecology of sweet fern (Comptonia peregrina (L.) Coult.)."" Canadian Journal of Botany 77(9): 1378-1386."
Incubator,0.1% w/v Benlate fungicide,,Petri,9 cm,Filter paper,"Downie, B. B., J. D. (1996). ""Dormancy in white spruce (Picea glauca Moench Voss) seeds is imposed by tissues surrounding the embryo."" Seed Science Research 6(1): 9-15."
Incubator,,,Box,51 x 25 x 10 cm,Kimpak,"Downie, B. C., J.; Scheer, G.; Wang, B. S. P.; Jensen, M.; Dhir, N. (1998). ""Alleviation of seed dormancy in white spruce (Picea glauca Moench. Voss.) is dependent on the degree of seed hydration."" Seed Science and Technology 26(3): 555-569."
Incubator,,,Box,21 x 24 cm,Kimpak,"Downie, B. W., Ben S. P. (1992). ""Upgrading germinability and vigour of jack pine, lodgepole pine, and white spruce by the IDS technique."" Canadian Journal of Forest Research 22(8): 1124-1131."
Incubator,,,Pot,,Sand and peat 3:1,"Draghici, C. and I. V. Abrudan (2011). ""The Effect of Different Stratification Conditions on the Germination of Fraxinus angustifolia Vahl. and F. ornus L. Seeds."" Notulae Botanicae Horti Agrobotanici Cluj-Napoca 39(1): 283-287."
Incubator,,,Box,10.2 x 10.2 cm,Kimpak,"Dunlap, J. R. B., J. P. (1983). ""Influence of seed size on germination and early development of loblolly pine (Pinustaeda L.) germinants."" Canadian Journal of Forest Research 13(1): 40-44."
Incubator,,,Petri,,Filter paper,"Dwiyanti, M. S., et al. (2014). ""Natural variation inMiscanthus sinensisseed germination under low temperatures."" Grassland Science 60(3): n/a-n/a."
Incubator,,,Box,10 x 10 x 4 cm,Filter paper,"Edwards, D. G. W. E., Y. A. (1996). ""The effect of stratification and artificial light on the germination of mountain hemlock seeds."" Seed Science and Technology 24(2): 225-235."
Incubator,,,Flat,,Sand and peat 1:1,"Ehlenfeldt, M. K. (1996). ""Sequential style removal in highbush blueberry, Vaccinium corymbosum L: Effects on fertilization success and seed germination."" Sexual Plant Reproduction 9(3): 170-174."
Incubator,,,,,Kimpak,"Elbers, J. P. and D. Moll (2011). ""Ingestion by a Freshwater Turtle Alters Germination of Bottomland Hardwood Seeds."" Wetlands 31(4): 757-761."
Incubator,,,Box,10 x 10 x 4 cm,Filter paper,"El-Kassaby, Y. A. E., D. G. W. (1998). ""Genetic control of germination and the effects of accelerated aging in mountain hemlock seeds and its relevance to gene conservation."" Forest Ecology and Management 112(3): 203-211."
Incubator,,,,,,"El-Kassaby, Y. A. E., D. G. W. (2001). ""Germination ecology in mountain hemlock (Tsuga mertensiana (Bong.) Carr.)."" Forest Ecology and Management 144(1-3): 183-188."
Incubator,,,Box,,Soil,"Endoh, K. M., Michinari; Kimura, Megumi K.; Hanaoka, So; Kurita, Yuko; Hanawa, Eiichi; Kinoshita, Satoshi; Abe, Namio; Yamada, Hiroo; Ubukata, Masatoshi (2018). ""Cryopreservation of Fagus crenata seeds: estimation of optimum moisture content for maintenance of seed viability by Bayesian modeling."" Canadian Journal of Forest Research 48(2): 192-196."
Incubator,,,Petri,9 cm,Filter paper,"Erfmeier, A. and H. Bruelheide (2005). ""Invasive and nativeRhododendron ponticumpopulations: is there evidence for genotypic differences in germination and growth?"" Ecography 28(4): 417-428."
Incubator,,,Petri,12 cm,Filter paper,"Ertekin, M. and E. Kirdar (2010). ""Breaking Seed Dormancy of Strawberry Tree (Arbutus unedo)."" International Journal of Agriculture and Biology 12(1): 57-60."
Incubator,,MS medium,Plate,,MS medium,"Ervin, G. N. and R. G. Wetzel (2002). ""Effects of sodium hypochlorite sterilization and dry cold storage on germination of Juncus effusus L."" Wetlands 22(1): 191-195."
Incubator,,,Petri,,,"Escarré, J. H., C. (1988). ""Aptitudes germinatives comparées de graines de Rumex acetosella issues de populations correspondant à des stades distincts d'une succession postculturale."" Canadian Journal of Botany 66(7): 1381-1390."
Incubator,,,Petri,,Filter paper,"Escudero, A., et al. (1997). ""Effects of high temperatures and ash on seed germination of two Iberian pines (Pinus nigra ssp salzmannii, P sylvestris var iberica)."" Annales Des Sciences Forestieres 54(6): 553-562."
Incubator,,,Petri,9 cm,Filter paper,"Escudero, A., et al. (1999). ""Probability of germination after heat treatment of native Spanish pines."" Annals of Forest Science 56(6): 511-520."
Incubator,,,Petri,18 cm,Sand,"Esen, D., et al. (2007). ""Effects of different pretreatments on germination of Prunus serotina seed sources."" J Environ Biol 28(1): 99-104."
Incubator,,,Petri,18 cm,Sand,"Esen, D., et al. (2009). ""EFFECTS OF CITRIC ACID PRESOAKING AND STRATIFICATION ON GERMINATION BEHAVIOR OF PRUNUS AVIUM L. SEED."" Pakistan Journal of Botany 41(5): 2529-2535."
Incubator,,,Jar,,Filter paper,"Etherington, J. R. (1983). ""Control of Germination and Seedling Morphology by Ethene: Differential Responses, Related to Habitat of Epilobium hirsutum L. and Chamerion angustifolium (L.) J. Holub."" Annals of Botany 52(5): 653-658."
Incubator,,,Petri,,Filter paper,"Evans, R. A. Y., James A. (1977). ""Bitterbrush Germination with Constant and Alternating Temperatures."" Journal of Range Management 30(1): 30-32."
Greenhouse,,,Pot,,Soil,"Ewald, A. Z., S.; Porzelt, M. (1998). ""Investigations of seed quality of Primula vulgaris Huds."" Agribiological Research-Zeitschrift Fur Agrarbiologie Agrikulturchemie Okologie 51(2): 109-115."
Incubator,,,Box,,Filter paper,"Falleri, E. (2004). ""Dormancy breaking in Cornus sanguinea seeds."" Seed Science and Technology 32(1): 1-4."
Incubator,,,Petri,,Filter paper,"Farhadi, M., et al. (2013). ""Pre-sowing treatment for breaking dormancy in Acer velutinum Boiss. seed lots."" Journal of Forestry Research 24(2): 273-278."
Incubator,,,Petri,,Water,"Farmer, R. E. B., F. T. (1967). ""Germination and Initial Growth of Eastern Cottonwood as Influenced by Moisture Stress, Temperature, and Storage."" Botanical Gazette 128(3/4): 211-215."
Incubator,,,Petri,9 cm,Filter paper,"Farmer, R. E. C., Paul; Searle, Ian E.; Tarjan, David P. (1984). ""Interaction of light, temperature, and chilling in the germination of black spruce."" Canadian Journal of Forest Research 14(1): 131-133."
Incubator,,,Box,,Filter paper,"Faron, M. L. B., et al. (2004). ""Temperatura, nitrato de potássio e fotoperíodo na germinação de sementes de Hypericum perforatum L. e H. Brasiliense Choisy."" Bragantia 63(2): 193-199."
Incubator,0.2% HgCl2 and 70% ethanol for ~2 min,MS medium,Jar,,MS medium,"Fazal, H., et al. (2016). ""FACTORS INFLUENCING IN VITRO SEED GERMINATION, MORPHOGENETIC POTENTIAL AND CORRELATION OF SECONDARY METABOLISM WITH TISSUE DEVELOPMENT IN PRUNELLA VULGARIS L."" Pakistan Journal of Botany 48(1): 193-200."
Incubator,,,Box,10 x 10 cm,Filter paper,"Fechner, G. H. B., Karen E.; Myers, Joseph F. (1981). ""Effects of storage, temperature, and moisture stress on seed germination and early seedling development of trembling aspen."" Canadian Journal of Forest Research 11(3): 718-722."
Incubator,3% H2O2 (v/v) for 10 min,,Box,11.2 × 11.2 × 3.6 cm,Filter paper,"Feurtado, J. A. X., J. H.; Ma, Y.; Kermode, A. R. (2003). ""Increasing the temperature of the water soak preceding moist-chilling promotes dormancy-termination of seeds of western white pine (Pinus monticola Dougl.)."" Seed Science and Technology 31(2): 275-288."
Incubator,3% H2O2 (v/v) for 10 min,,Box,11.2 × 11.2 × 3.6 cm,Filter paper,"Feurtado, J. A., et al. (2004). ""Dormancy termination of western white pine (Pinus monticola Dougl. Ex D. Don) seeds is associated with changes in abscisic acid metabolism."" Planta 218(4): 630-639."
Incubator,3% H2O2 (v/v) for 10 min,,Petri,9 cm,Filter paper,"Feurtado, J. A., et al. (2007). ""Disrupting Abscisic Acid Homeostasis in Western White Pine (Pinus monticola Dougl. Ex D. Don) Seeds Induces Dormancy Termination and Changes in Abscisic Acid Catabolites."" Journal of Plant Growth Regulation 26(1): 46-54."
Incubator,,,Tray,,Sand and peat 1:1,"Finch-Savage, W. (1998). ""Nuclear Replication Activity During Seed Development, Dormancy Breakage and Germination in Three Tree Species: Norway Maple (Acer platanoidesL.), Sycamore (Acer pseudoplatanusL.) and Cherry (Prunus aviumL.)."" Annals of Botany 81(4): 519-526."
Incubator,,,Tray,,Sand,"Finch-Savage, W. E. (1992). ""Seed development in the recalcitrant species Quercus robur L.: germinability and desiccation tolerance."" Seed Science Research 2(1): 17-22."
Incubator,,,Tray,,Sand,"Finch-Savage, W. E. C., H. A. (1994). ""Water relations of germination in the recalcitrant seeds of Quercus robur L."" Seed Science Research 4(03): 315-322."
Incubator,,,Petri,,,"Finnerty, T. L. Z., J. M.; Hussey, M. A. (1992). ""USE OF SEED PRIMING TO BYPASS STRATIFICATION REQUIREMENTS OF 3 AQUILEGIA SPECIES."" Hortscience 27(4): 310-313."
Incubator,,,Box,,Kimpak,"Flannigan, M. D. W., F. I. (1993). ""A laboratory study of the effect of temperature on red pine seed germination."" Forest Ecology and Management 62(1-4): 145-156."
Incubator,,,Bag,,Filter paper,"Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46."
Incubator,,,Petri,9 cm,Filter paper,"Froud-Williams, R. J. F., R. (1987). ""Germination of proximal and distal seeds of Poa trivialis L. from contrasting habitats."" Weed Research 27(4): 245-250."
Incubator,,,Petri,9 cm,Filter paper,"Froud-Williams, R. J., et al. (1984). ""The Influence of Burial and Dry-Storage Upon Cyclic Changes in Dormancy, Germination and Response to Light in Seeds of Various Arable Weeds."" New Phytologist 96(3): 473-481."
Incubator,,,Petri,9 cm,Filter paper,"Froud-Williams, R. J., et al. (1986). ""Evidence for an Endogenous Cycle of Dormancy in Dry Stored Seeds of Poa Trivialis L."" New Phytologist 102(1): 123-131."
Incubator,,,Box,,Filter paper,"Fu, X. X., et al. (2013). ""Seed dormancy mechanism and dormancy breaking techniques for Cornus kousa var. chinensis."" Seed Science and Technology 41(3): 458-463."
Incubator,,,Petri,9 cm,Filter paper,"Galinato, M. I. V., A. G. (1986). ""SEED-GERMINATION TRAITS OF ANNUALS AND EMERGENTS RECRUITED DURING DRAWDOWNS IN THE DELTA MARSH, MANITOBA, CANADA."" Aquatic Botany 26(1-2): 89-102."
Incubator,,,Petri,,Filter paper,"Gange, A. C. B., V. K.; Farmer, L. M. (1992). ""Effects of Pesticides on the Germination of Weed Seeds: Implications for Manipulative Experiments."" The Journal of Applied Ecology 29(2): 303-310."
Incubator,,,Petri,10 cm,Filter paper,"Geneve, R. L. (1991). ""SEED DORMANCY IN EASTERN REDBUD (CERCIS-CANADENSIS)."" Journal of the American Society for Horticultural Science 116(1): 85-88."
Incubator,,,Petri,8 cm,Filter paper,"Giménez-Benavides, L., et al. (2005). ""Seed germination of high mountain Mediterranean species: altitudinal, interpopulation and interannual variability."" Ecological Research 20(4): 433-444."
Incubator,,,Petri,9 cm,Filter paper,"Giuliani, C., et al. (2015). ""Temperature-related effects on the germination capacity of black locust (Robinia pseudoacacia L., Fabaceae) seeds."" Folia Geobotanica 50(3): 275-282."
Incubator,1% sodium hypochlorite solution for 15 min,,Petri,,,"Gleiser, G., et al. (2004). ""Seed dormancy in relation to seed storage behaviour in Acer."" Botanical Journal of the Linnean Society 145(2): 203-208."
Incubator,,,Jar,,Filter paper,"Golle, D. P., et al. (2009). ""Subsídio hídrico fornecido por substratos alternativos usados na germinação in vitro de Pinus taeda L."" Ciencia Rural 39(7): 2218-2221."
Incubator,,,Tray,18 x 11 x 4 cm,Sand and soil 1:1,"González?Andrés, F. and J. M. Ortiz (2010). ""Potential ofCytisusand allied genera (Genisteae: Fabaceae) as forage shrubs."" New Zealand Journal of Agricultural Research 39(2): 195-204."
Incubator,,,Petri,9 cm,Filter paper,"Gonzlez-Rabanal, F. C., Mercedes (1995). ""Effect of high temperatures and ash on germination of ten species from gorse shrubland."" Vegetatio 116(2): 123-131."
Incubator,,,Box,11 x 11 x3,Kimpak,"Goodwin, J. R. D., P. S.; Eddleman, L. E. (1996). ""Germination of Idaho fescue and cheatgrass seeds from coexisting populations."" Northwest Science 70(3): 230-241."
Incubator,,,Box,11 x 11 x3,Kimpak,"Goodwin, J. R. D., Paul S.; Eddleman, Lee E. (1995). ""After-Ripening in Festuca idahoensis Seeds: Adaptive Dormancy and Implications for Restoration."" Restoration Ecology 3(2): 137-142."
Incubator,,,Petri,9 cm,Filter paper,"Gorai, M., et al. (2006). ""Seed germination characteristics of Phragmites communis: Effects of temperature and salinity."" Belgian Journal of Botany 139(1): 78-86."
Incubator,,,,,Filter paper,"Gorian, F., et al. (2007). ""Seed size and chilling affect germination of Larix decidua Mill. seeds."" Seed Science and Technology 35(2): 508-513."
Incubator,,,Box,16.5 x 11.3 x 6.5 cm,Filter paper,"Gosling, P. G. (1988). ""THE EFFECT OF MOIST CHILLING ON THE SUBSEQUENT GERMINATION OF SOME TEMPERATE CONIFER SEEDS OVER A RANGE OF TEMPERATURES."" Journal of Seed Technology 12(1): 90-98."
Incubator,,,Tray,,Sand and peat 1:2,"Gosling, P. G. (1989). ""The Effect of Drying Quercus robur Acorns to Different Moisture Contents, followed by Storage, either with or without Imbibition."" Forestry 62(1): 41-50."
Incubator,,,Tray,22 x 16 x 5 cm,Sand and peat,"Gosling, P. G. (2004). ""Six chemicals with animal repellent or insecticide properties are screened for phytotoxic effects on the germination and viability of ash, birch, Corsican pine and sycamore seeds."" Forestry 77(5): 397-403."
Incubator,,,Box,16.5 x 11.3 x 6.5 cm,Filter paper,"Gosling, P. G. S., Y.; Peace, A. (2003). ""The effect of moisture content and prechill duration on dormancy breakage of Douglas fir seeds (<I>Pseudotsuga menziesii</I> var. <I>menziesii</I> [Mirb.] Franco)."" Seed Science Research 13(3): 239-246."
Incubator,,,Box,,Filter paper,"Gosling, P. G., et al. (2009). ""Seed dormancy and germination characteristics of common alder (Alnus glutinosa L.) indicate some potential to adapt to climate change in Britain."" Forestry 82(5): 573-582."
Incubator,,,Petri,,Filter paper,"Graae, B. J., et al. (2015). ""Germination requirements and seed mass of slow- and fast- colonizing temperate forest herbs along a latitudinal gradient."" Ecoscience 16(2): 248-257."
Incubator,,,Petri,9 cm,Filter paper,"Gresta, F., et al. (2007). ""Effect of maturation stage, storage time and temperature on seed germination of Medicago species."" Seed Science and Technology 35(3): 698-708."
Incubator,,,Petri,,Filter paper,"Groeneveld, E., et al. (2014). ""Sexual reproduction of Japanese knotweed (Fallopia japonica s.l.) at its northern distribution limit: new evidence of the effect of climate warming on an invasive species."" Am J Bot 101(3): 459-466."
Incubator,,,Petri,9 cm,Filter paper,"Grundy, A. C. (1997). ""The influence of temperature and water potential on the germination of seven different dry-stored seed lots of Stellaria media."" Weed Research 37(4): 257-266."
Incubator,,,Petri,9 cm,Filter paper,"Grundy, A. C., et al. (2000). ""Modelling the germination of Stellaria media using the concept of hydrothermal time."" New Phytologist 148(3): 433-444."
Room,,,Tube,3 x 3 x 15 cm,Peat,"Guney, K., et al. (2016). ""INFLUENCE OF GERMINATION PERCENTAGE AND MORPHOLOGICAL PROPERTIES OF SOME HORMONES PRACTICE ON Lilium martagon L. SEEDS."" Oxidation Communications 39(1): 466-474."
Incubator,,,Cup,,Sand,"Guo, Y., et al. (1998). ""Effects of flood duration and season on germination of black, cherrybark, northern red, and water oak acorns."" New Forests 15(1): 69-76."
Incubator,,,Petri,9 cm,Agar,"Haasis, F. W. T., Adrian C. (1931). ""Temperature Relations of Lodgepole-Pine Seed Germination."" Ecology 12(4): 728-744."
Incubator,,,Box,34.4 x 21.4 x 11.5 cm,Filter paper,"Hale, A. N., et al. (2017). ""Reduced Seed Germination after Pappus Removal in the North American Dandelion (Taraxacum officinale; Asteraceae)."" Weed Science 58(04): 420-425."
Incubator,,,,,Filter paper,"Hallgren, S. W. (1989). ""Effects of osmotic priming using aerated solutions of polyethylene glycol on germination of pine seeds."" Annales Des Sciences Forestieres 46(1): 31-37."
Incubator,,,Petri,9 cm,Filter paper,"Hanley, M. E. (2009). ""Thermal shock and germination in North-West European Genisteae: implications for heathland management and invasive weed control using fire."" Applied Vegetation Science 12(3): 385-390."
Incubator,,,Petri,,Water,"Hanslin, H. M. H., Hans Martin; Eggen, Trine (2005). ""Salinity tolerance during germination of seashore halophytes and salt-tolerant grass cultivars."" Seed Science Research 15(1): 43-50."
Incubator,fungicide,,Cup,,Water,"Hardegree, S. P. (1994). ""Drying and Storage Effects on Germination of Primed Grass Seeds."" Journal of Range Management 47(3): 196-199."
Incubator,fungicide,,Vial,,Water,"Hardegree, S. P., et al. (2003). ""Hydrothermal germination response and the development of probabilistic germination profiles."" Ecological Modelling 167(3): 305-322."
Incubator,,,Petri,9 cm,Filter paper,"Hardin, E. D. (1984). ""Variation in Seed Weight, Number per Capsule and Germination in Populus deltoides Bartr. Trees in Southeastern Ohio."" American Midland Naturalist 112(1): 29-34."
Incubator,,,Petri,9 cm,Filter paper,"Harniss, R. O. M., W. T. (1976). ""Yearly Variation in Germination in Three Subspecies of Big Sagebrush."" Journal of Range Management 29(2): 167-168."
Incubator,,,Pot,10 cm,Peat and vermiculite 7:3,"Harris, S. M. D., D. J.; Gordon, R. J.; Jensen, K. I. N. (1998). ""The effect of thermal time and soil water on emergence of Ranunculus repens."" Weed Research 38(6): 405-412."
Incubator,,,Petri,9 cm,Filter paper,"Hassell, R. L., et al. (2004). ""Influence of temperature gradients on pale and purple coneflower, feverfew, and Valerian germination."" Horttechnology 14(3): 368-371."
Incubator,,,Petri,11 cm,Styrofoam,"Haunold, A. Z., Charles E. (1974). ""Pollen Collection, Crossing, and Seed Germination of Hop1."" Crop Science 14(5): 774-776."
Incubator,,,Petri,10 cm,Filter paper,"Hawkins, K. K., et al. (2017). ""Secondary dormancy induction and release in Bromus tectorum seeds: the role of temperature, water potential and hydrothermal time."" Seed Science Research 27(01): 12-25."
Incubator,,,Petri,9 cm,Filter paper,"Hawkins, T. S., et al. (2010). ""Morphophysiological dormancy in seeds of three eastern North American Sanicula species (Apiaceae subf. Saniculoideae): evolutionary implications for dormancy break."" Plant Species Biology 25(2): 103-113."
Incubator,,,Petri,,Filter paper,"Hellum, A. K. (1973). ""Seed Storage and Germination of Black Poplar."" Canadian Journal of Plant Science 53(1): 227-228."
Incubator,,,Box,,Peat,"Hellum, A. K. H., Lisa (1988). ""Variable dormancy in seed of Pinus contorta."" Scandinavian Journal of Forest Research 3(1-4): 137-146."
Incubator,,,Petri,,Filter paper,"Helsper, H. P. G. K., G. A. M. (1984). ""Germination of Calluna Vulgaris (L.) Hull in Vitro under Different Ph-Conditions."" Acta Botanica Neerlandica 33(3): 347-353."
Incubator,,,Box,,Filter paper,"Henning, K., et al. (2017). ""The reproductive potential and importance of key management aspects for successful Calluna vulgaris rejuvenation on abandoned Continental heaths."" Ecol Evol 7(7): 2091-2100."
Incubator,,,Petri,7 cm,Filter paper,"Herranz, J. M., et al. (1998). ""Influence of heat on seed germination of seven Mediterranean Leguminosae species."" Plant Ecology 136(1): 95-103."
Incubator,,,Petri,9 cm,Filter paper,"Herranz, J. M., et al. (2005). ""Effect of allelopathic compounds produced by Cistus ladanifer on germination of 20 Mediterranean taxa."" Plant Ecology 184(2): 259-272."
Incubator,,,Petri,5.5 cm,Sand,"Hidayati, S. N. B., J. M.; Baskin, C. C. (2000). ""Dormancy-breaking and germination requirements of seeds of four Lonicera species (Caprifoliaceae) with underdeveloped spatulate embryos."" Seed Science Research 10(4): 459-469."
Incubator,,,Petri,,,"Hidayati, S. N. B., J. M.; Baskin, C. C. (2002). ""Effects of dry storage on germination and survivorship of seeds of four Lonicera species (Caprifoliaceae)."" Seed Science and Technology 30(1): 137-148."
Incubator,,,Petri,6 cm,,"Hidayati, S. N. B., Jerry M.; Baskin, Carol C. (2000). ""Dormancy-breaking and germination requirements for seeds of Diervilla lonicera (Caprifoliaceae), a species with underdeveloped linear embryos."" Canadian Journal of Botany 78(9): 1199-1205."
Incubator,,,Petri,5.5 cm,Sand,"Hidayati, S. N., et al. (2000). ""Morphophysiological dormancy in seeds of two North American and one Eurasian species of Sambucus (Caprifoliaceae) with underdeveloped spatulate embryos."" Am J Bot 87(11): 1669-1678."
Incubator,,,Petri,5.5 cm,Soil and sand 3:1,"Hidayati, S. N., et al. (2001). ""Dormancy-breaking and germination requirements for seeds of Symphoricarpos orbiculatus (Caprifoliaceae)."" Am J Bot 88(8): 1444-1451."
Incubator,,,Petri,9 cm,Soil and sand 3:1,"Hidayati, S. N., et al. (2005). ""Epicotyl Dormancy in Viburnum acerifolium (Caprifoliaceae)."" The American Midland Naturalist 153(2): 232-244."
Incubator,1% w/v sodium hypochlorite,,Petri,13 cm,Filter paper,"Hill, M. J. L., R. (1991). ""The effect of temperature on germination and seedling growth of temperate perennial pasture legumes."" Australian Journal of Agricultural Research 42(1): 175-189."
Incubator,,,,,,"Hilli, A., et al. (2003). ""Germination of pretreated Scots pine seeds after long-term storage."" Canadian Journal of Forest Research 33(1): 47-53."
Incubator,,,Petri,8.5 cm,Filter paper,"Himanen, K., et al. (2013). ""Soaking effects on seed germination and fungal infection inPicea abies."" Scandinavian Journal of Forest Research 28(1): 1-7."
Incubator,,,Petri,9 cm,Agar,"Hirao, A. S. (2010). ""Kinship between parents reduces offspring fitness in a natural population of Rhododendron brachycarpum."" Ann Bot 105(4): 637-646."
Incubator,,,Petri,,Filter paper,"Hoffman, G. R. (1985). ""Germination of Herbaceous Plants Common to Aspen Forests of Western Colorado."" Bulletin of the Torrey Botanical Club 112(4): 409-413."
Incubator,,,Petri,9 cm,Filter paper,"Hong, T. D. and R. H. Ellis (1990). ""A comparison of maturation drying, germination, and desiccation tolerance between developing seeds of Acer pseudoplatanus L. and Acer platanoides L."" New Phytologist 116(4): 589-596."
Incubator,,,Petri,,Filter paper,"Hopley, T. Y., Andrew G. (2015). ""Knowledge of the reproductive ecology of the invasive Salix cinerea, in its invaded range, assists in more targeted management strategies."" Australian Journal of Botany 63(6): 477-483."
Incubator,,,Petri,12 cm,Filter paper,"Hu, X., et al. (2013). ""Seed dormancy in four Tibetan Plateau Vicia species and characterization of physiological changes in response of seeds to environmental factors."" Seed Science Research 23(02): 133-140."
Incubator,,,Box,10 x 5 cm,Filter paper,"Huebner, C. D. (2017). ""Seed Mass, Viability, and Germination of Japanese Stiltgrass (Microstegium vimineum) under Variable Light and Moisture Conditions."" Invasive Plant Science and Management 4(03): 274-283."
Incubator,,,Petri,,Filter paper,"Husband, B. C. and J. E. Gurney (1998). ""Offspring fitness and parental effects as a function of inbreeding in Epilobium angustifolium (Onagraceae)."" Heredity 80(2): 173-179."
Incubator,,,Petri,,,"Iakovoglou, V. and K. Radoglou (2015). ""Breaking seed dormancy of three orthodox Mediterranean Rosaceae species."" J Environ Biol 36(2): 345-349."
Incubator,,,Petri,9 cm,,"Ibyeongtae and Bakjongmin (2006). ""Effects of Seed Coating, Slope Control and Soil Mulching onSeed Germination and Seedling Growth of Rehabilitation Plants."" Journal of the Korea Society of Environmental Restoration Technology 9(6): 38-51."
Incubator,,,Petri,15 cm,Filter paper,"Ijongseok and Hanseungwon (2007). ""Studies on Seed Germination of Miscanthus sinensis Native to Jeju Island."" Journal of the Korea Society of Environmental Restoration Technology 10(1): 9-15."
Greenhouse,,,Petri,,Cotton wool,"Ives, S. A. (1923). ""Maturation and Germination of Seeds of Ilex opaca."" Botanical Gazette 76(1): 60-77."
Greenhouse,,,Petri,5 cm,Filter paper,"Jaderlund, A. Z., O.; Nilsson, M. C. (1996). ""Effects of bilberry (Vaccinium myrtillus L.) litter on seed germination and early seedling growth of four boreal tree species."" J Chem Ecol 22(5): 973-986."
Incubator,,,Petri,5 cm,Agar,"Jankowska-Blaszczuk, M. and M. I. Daws (2007). ""Impact of red : far red ratios on germination of temperate forest herbs in relation to shade tolerance, seed mass and persistence in the soil."" Functional Ecology 21(6): 1055-1062."
Incubator,Calcium hypochlorite 2%,,Petri,9 cm,Filter paper,"Jarvis, B. C. (1975). ""The Role of Seed Parts in the Induction of Dormancy of Hazel (Corylus Avellana L.)."" New Phytologist 75(3): 491-494."
Incubator,,,,,,"Jastrz?bowski, S., et al. (2017). ""Effects of thermal-time artificial scarification on the germination dynamics of black locust (Robinia pseudoacacia L.) seeds."" European Journal of Forest Research 136(3): 471-479."
